Model,VIN,Level,Brand,Series,LaunchYr,LaunchMo,MSRP,Mileage,Accident,PurchasedDate,Insurance,Renovation,Cost,SalesPrice
晶锐 晶锐 1.4 手动 晶致版,LSVFE4553B2158506,CSS0214M0046,斯柯达,晶锐,2010,7,78900,64545,No,2015/6/23,4860,2170,40130,47000
5系 530Li 3.0 手自一体 豪华型,LBVND79078SB12154,CBM0230A0009,宝马,5系,2008,3,712600,186684,No,2015/5/16,6670,56100,66300,136000
E级 E 300 L 3.0 手自一体 时尚尊贵型,LE4HG5EB9BL008941,CBZ0130A0019,奔驰,E级,2010,12,710000,87263,No,2015/6/6,450,820,260180,290000
S30 S30 1.6 手动 感恩版CNG,LGJE14E21EM225254,CDF0216M0057,风神,S30,2014,3,708000,16995,No,2015/3/28,,160,44840,50000
A6 A6L 3.0TFSI 手自一体 Quattro豪华型,LFV6A24F6B3046220,CFA0330A0008,奥迪,A6,2011,1,699900,111191,No,2015/3/22,,1530,238770,267000
普拉多 普拉多 4.0 手自一体 VX 导航版,LFMGJE721BS022111,CFT0540A0090,丰田,普拉多,2010,6,698000,66441,No,2015/4/4,,800,323200,360000
A6 A6L 2.8FSI 双离合 35FSI Quattro豪华型,LFV5A24G0C3039897,CFA0328D0001,奥迪,A6,2012,3,669600,85039,No,2015/6/23,13940,2260,308240,345000
A6 A6L 2.8FSI 双离合 35FSI Quattro豪华型,LFV5A24G0C3039897,CFA0328D0001,奥迪,A6,2012,3,669600,85042,No,2015/6/23,13940,2340,308160,345000
5系 530i 3.0 手自一体,LBVNE79096SA81368,CBM0230A0005,宝马,5系,2005,2,650000,168000,No,2015/5/24,,3100,86900,100000
A6 A6L 2.8FSI 无级 35FSI 豪华型,LFV5A24G7E3045862,CFA0328C0046,奥迪,A6,2014,1,627600,7559,No,2015/5/26,,480,382020,425000
5系 528Li 3.0 手自一体 豪华型,LBVFR1906BSD22299,CBM0230A0031,宝马,5系,2010,8,625600,105166,No,2015/1/31,,930,249270,278000
5系 525Li 2.5 手自一体 豪华型,LBVNU79018SB10741,CBM0225A0021,宝马,5系,2008,3,625600,104823,No,2015/5/22,6800,7620,140880,165000
A6 A6L 2.8FSI 无级 豪华型,LFV5A24F3A3086586,CFA0328C0033,奥迪,A6,2009,8,618200,264456,No,2015/6/27,4052,9880,152120,180000
E级 E 300 L 3.0 手自一体 优雅型,LE4HG5EBXBL049059,CBZ0130A0021,奔驰,E级,2011,9,596000,63840,No,2015/3/16,,1340,277660,310000
E级 E 300 L 3.0 手自一体 优雅型,LE4HG5EB2BL050013,CBZ0130A0021,奔驰,E级,2011,9,596000,48297,No,2015/6/5,78680,1770,272730,305000
A6 A6 2.8 手自一体 豪华行政版,LFVBA24B543003177,CFA0328A0009,奥迪,A6,2002,11,569700,181074,No,2015/2/25,1610,1020,37680,43000
唯雅诺 唯雅诺 3.0 手自一体 领航版,LB1WA5B37D8033062,CFB0230A0003,奔驰,唯雅诺,2013,4,569000,90360,No,2015/5/31,,7020,325980,370000
Q5 Q5 2.0TFSI 手自一体 40TFSI quattro 豪华型,LFV3B28R9E3053106,CFA0520A0031,奥迪,Q5,2013,4,567700,5807,No,2015/5/29,,960,413040,460000
Q5 Q5 2.0TFSI 手自一体 40TFSI quattro 豪华型,LFV3B28R9E3053106,CFA0520A0031,奥迪,Q5,2013,4,567700,6855,No,2015/6/25,,1310,393790,439000
Q5 Q5 2.0TFSI 手自一体 40TFSI quattro 豪华型,LFV3B28R9E3053106,CFA0520A0031,奥迪,Q5,2013,4,567700,6855,No,2015/6/25,,1310,377140,420500
5系 525Li 2.0T 手自一体 卓乐版,LBVCU3102DSE13680,CBM0220A0014,宝马,5系,2013,6,561900,35976,No,2015/4/30,20200,1460,322540,360000
5系 525Li 2.0T 手自一体 卓乐版,LBVCU3102DSE13680,CBM0220A0014,宝马,5系,2013,6,561900,3,No,2015/4/30,20200,1460,322540,360000
5系 530Li 3.0 手自一体 领先型,LBVCU510XCSF02388,CBM0230A0044,宝马,5系,2011,11,559600,59647,No,2015/3/16,6050,780,336720,375000
5系 530Li 3.0 手自一体 领先型,LBVCU5102CSF04670,CBM0230A0044,宝马,5系,2011,11,559600,12567,No,2015/4/25,,85020,229980,350000
5系 530Li 3.0 手自一体 领先型,LBVCU5102CSF01624,CBM0230A0044,宝马,5系,2011,11,559600,89618,No,2015/5/1,,2290,294710,330000
5系 525Li 2.5 手自一体 领先型,LBVNU79059SB82270,CBM0225A0040,宝马,5系,2009,2,555600,193237,No,2015/4/15,,820,147680,165000
5系 525Li 2.5 手自一体 领先型,LBVNU79089SB82148,CBM0225A0040,宝马,5系,2009,2,555600,159944,No,2015/6/23,62730,5180,125320,145000
5系 528Li 3.0 手自一体 领先型,LBVFR1901BSE28594,CBM0230A0032,宝马,5系,2010,10,550600,69237,No,2015/6/13,,2360,274840,308000
A6 A6L 2.8FSI 无级 舒适型,LFV5A24F1B3005148,CFA0328C0035,奥迪,A6,2011,1,537700,85000,No,2015/4/27,,1600,205400,230000
A6 A6L 2.8FSI 无级 舒适型,LFV5A24F5A3071846,CFA0328C0032,奥迪,A6,2009,8,537700,159699,No,2015/5/25,43950,2560,167540,189000
A6 A6L 2.8FSI 无级 舒适型,LFV5A24F8A3018865,CFA0328C0032,奥迪,A6,2009,8,537700,244156,No,2015/5/29,,16980,145020,180000
A6 A6L 2.8FSI 无级 舒适娱乐型,LFV5A24F2A3072985,CFA0328C0034,奥迪,A6,2009,8,537700,69167,No,2015/6/12,1000,1460,178540,200000
A6 A6L 2.4 无级 豪华型,LFV4A24F7A3052E41,CFA0324C0060,奥迪,A6,2009,8,533300,182591,No,2015/6/13,,2760,161940,183000
A6 A6L 2.4 无级 尊贵型,LFV4A24F083052806,CFA0324C0046,奥迪,A6,2006,1,526100,263440,No,2015/3/19,28305,1080,129420,145000
A6 A6L 2.4 无级 尊贵型,LFV4A24F083011592,CFA0324C0046,奥迪,A6,2006,1,526100,295560,No,2015/6/22,35911,13060,80540,104000
唯雅诺 唯雅诺 2.5 手自一体 领航版,LB1WA5887B8011935,CFB0225A0009,奔驰,唯雅诺,2011,4,509000,83026,No,2015/5/14,,0,207000,230000
唯雅诺 唯雅诺 2.5 手自一体 领航版,LB1WA588XB8020354,CFB0225A0009,奔驰,唯雅诺,2011,4,509000,107162,No,2015/6/1,15058,2180,206620,232000
A6 A6L 2.5FSI 无级 30FSI 豪华型,LFV5A24G5D3080219,CFA0325C0008,奥迪,A6,2012,3,506600,35346,No,2015/5/26,5100,1260,304740,340000
A6 A6L 2.4 无级 舒适型,LFV4A24F753010323,CFA0324C0019,奥迪,A6,2005,6,504700,188843,No,2015/4/16,9492,1640,76660,87000
5系 523Li 2.5 手自一体 豪华型,LBVNU39029SC37542,CBM0225A0039,宝马,5系,2009,2,503600,73947,No,2015/5/21,31732,1120,160880,180000
普拉多 普拉多 4.0 手自一体 GX,LFMGJ27216S012831,CFT0540A0014,丰田,普拉多,2005,5,502000,185252,No,2015/6/17,,1280,136420,153000
5系 525Li 2.0T 手自一体 豪华设计套装,LBV5S3103ESJ25440,CBM0220A0024,宝马,5系,2013,9,499600,12698,No,2015/4/24,,1020,283020,315600
5系 525Li 2.0T 手自一体 豪华设计套装,LBV5S3101FSK39471,CBM0220A0037,宝马,5系,2013,9,499600,8688,No,2015/6/14,,640,354860,395000
5系 525Li 2.0T 手自一体 豪华型,LBVCU3102DSE13680,CBM0220A0013,宝马,5系,2012,8,494600,34977,No,2015/2/26,20200,1460,327040,365000
